ID,Latitude,Longitude,poi,lat,long,distance
1319461,40.61927,-74.0307,Statue of Liberty,40.6891078,-74.0440954,
1321118,40.68275,-73.96148,Statue of Liberty,40.6891078,-74.0440954,
1322222,40.71892,-73.98401,Statue of Liberty,40.6891078,-74.0440954,
1322775,40.816,-73.95545,Statue of Liberty,40.6891078,-74.0440954,
1323327,40.82748,-73.95153,Statue of Liberty,40.6891078,-74.0440954,
1324432,40.72229,-73.97901,Statue of Liberty,40.6891078,-74.0440954,
1325536,40.72595,-73.95298,Statue of Liberty,40.6891078,-74.0440954,
1326088,40.71193,-74.00817,Statue of Liberty,40.6891078,-74.0440954,
1327745,40.67424,-73.96665,Statue of Liberty,40.6891078,-74.0440954,
1335478,40.71611,-73.99828,Statue of Liberty,40.6891078,-74.0440954,
1336582,40.76189,-73.99,Statue of Liberty,40.6891078,-74.0440954,
1338791,40.83001,-73.92158,Statue of Liberty,40.6891078,-74.0440954,
1341553,40.79442,-73.93433,Statue of Liberty,40.6891078,-74.0440954,
1342105,40.76166,-73.99675,Statue of Liberty,40.6891078,-74.0440954,
1342657,40.70163,-73.90867,Statue of Liberty,40.6891078,-74.0440954,
1343210,40.75575,-73.96842,Statue of Liberty,40.6891078,-74.0440954,
1343762,40.80903,-73.94197,Statue of Liberty,40.6891078,-74.0440954,
1344314,40.74581,-73.95295,Statue of Liberty,40.6891078,-74.0440954,
1344867,40.66414,-73.98574,Statue of Liberty,40.6891078,-74.0440954,
1345419,40.74,-74.00381,Statue of Liberty,40.6891078,-74.0440954,
1347628,40.70257,-73.9847,Statue of Liberty,40.6891078,-74.0440954,
1348733,40.73833,-73.98186,Statue of Liberty,40.6891078,-74.0440954,
1350390,40.77679,-73.91687,Statue of Liberty,40.6891078,-74.0440954,
1352047,40.68501,-73.97019,Statue of Liberty,40.6891078,-74.0440954,
1353703,40.68975,-73.96703,Statue of Liberty,40.6891078,-74.0440954,
1355360,40.6893,-73.96602,Statue of Liberty,40.6891078,-74.0440954,
1357570,40.85888,-73.92886,Statue of Liberty,40.6891078,-74.0440954,
1360331,40.73834,-73.9823,Statue of Liberty,40.6891078,-74.0440954,
1360883,40.7347,-73.88066,Statue of Liberty,40.6891078,-74.0440954,
1361436,40.71876,-73.98851,Statue of Liberty,40.6891078,-74.0440954,
1361988,40.73787,-73.95385,Statue of Liberty,40.6891078,-74.0440954,
1362540,40.73066,-74.00287,Statue of Liberty,40.6891078,-74.0440954,
1363093,40.73291,-74.00059,Statue of Liberty,40.6891078,-74.0440954,
1366406,40.81068,-73.94288,Statue of Liberty,40.6891078,-74.0440954,
1367511,40.73129,-73.99944,Statue of Liberty,40.6891078,-74.0440954,
